	mESC_DMSO_rep1	mESC_DMSO_rep2	mESC_DMSO_rep3	2_NPC_DMSO	4_NPC_DMSO	5_NPC_DMSO
ENSMUSG00000036427.5	73143	88815	44344	20883	23119	19050
ENSMUSG00000036430.8	1549	1161	1318	1479	1566	1639
ENSMUSG00000036432.8	1052	481	1041	1211	956	927
ENSMUSG00000036435.13	4093	3392	3226	6853	6123	5772
ENSMUSG00000036437.6	9	6	5	428	247	115
ENSMUSG00000036438.12	73859	43376	60523	85316	67694	73887
ENSMUSG00000036442.8	4103	3083	3441	2840	3555	2746
ENSMUSG00000036446.5	55	11	112	7774	3187	1013
ENSMUSG00000036449.6	0	1	0	1	0	0
ENSMUSG00000036450.4	5222	4146	4014	7440	7610	6710
ENSMUSG00000036452.17	648	622	452	1011	666	641
ENSMUSG00000036459.15	8557	5181	8151	1610	1648	993
ENSMUSG00000036461.16	2749	1641	2887	1116	2141	1081
ENSMUSG00000036463.8	0	0	0	0	0	0
ENSMUSG00000036466.17	35	97	28	6411	3374	2298
ENSMUSG00000036469.16	0	5	3	2627	1352	1169
ENSMUSG00000036473.15	2630	1956	2092	10762	8594	7753
ENSMUSG00000036478.8	9199	6437	5308	13513	12213	14251
ENSMUSG00000036480.9	34	37	29	9	7	3
ENSMUSG00000036492.12	106	84	79	7	8	1
ENSMUSG00000036499.9	2975	2574	2603	4341	4229	3526
ENSMUSG00000036500.4	5	0	1	0	2	3
ENSMUSG00000036501.6	3440	2069	3072	6381	6390	5475
ENSMUSG00000036502.14	7	3	3	4335	1541	1730
ENSMUSG00000036503.13	5912	3818	6405	3047	2997	2060
ENSMUSG00000036504.6	86	77	46	342	228	271
ENSMUSG00000036510.17	6	10	25	6346	2806	1707
ENSMUSG00000036513.15	3567	2829	2581	3280	2656	2616
ENSMUSG00000036521.5	0	0	0	0	0	0
ENSMUSG00000036523.16	1150	368	1451	388	1152	882
ENSMUSG00000036526.8	4	9	4	4	1	5
ENSMUSG00000036528.15	1676	1448	1305	423	892	183
ENSMUSG00000036529.17	9079	7008	9126	13059	12900	11620
ENSMUSG00000036533.8	705	738	562	1945	1533	1893
ENSMUSG00000036534.6	3370	3490	3097	2819	4083	1828
ENSMUSG00000036537.6	459	429	344	397	344	364
ENSMUSG00000036545.8	180	82	205	1433	558	393
ENSMUSG00000036550.16	26632	23800	21727	28434	33775	20053
ENSMUSG00000036551.6	0	0	0	1	1	2
ENSMUSG00000036552.18	1583	1073	1306	935	952	846
ENSMUSG00000036553.16	1203	940	955	84	388	48
ENSMUSG00000036555.14	1549	942	1510	2640	2604	2069
ENSMUSG00000036557.8	1	4	3	4	5	2
ENSMUSG00000036560.14	30	15	36	19	78	38
ENSMUSG00000036561.8	1338	1073	1097	10379	9012	9396
ENSMUSG00000036564.17	1818	1359	1298	16189	14558	14252
ENSMUSG00000036565.7	5773	3332	7053	34201	27807	29602
ENSMUSG00000036568.6	3487	3866	2038	3908	3308	3152
ENSMUSG00000036570.14	116	50	111	68	42	12
ENSMUSG00000036572.16	4299	3361	3310	4372	4374	4070
ENSMUSG00000036574.5	12	4	3	1	0	0
ENSMUSG00000036578.7	11	7	18	400	373	329
ENSMUSG00000036580.15	3871	2169	3314	2445	2733	1708
ENSMUSG00000036585.15	26	32	8	74	53	7
ENSMUSG00000036586.6	36	33	12	1	2	0
ENSMUSG00000036587.13	5	11	11	49	32	29
ENSMUSG00000036591.16	16006	9311	16391	17144	17765	14349
ENSMUSG00000036594.14	43	42	28	0	5	7
ENSMUSG00000036596.6	1555	478	1846	125	125	79
ENSMUSG00000036598.4	51	34	22	25	8	4
ENSMUSG00000036599.10	3155	2445	3626	853	877	554
ENSMUSG00000036602.14	4	7	13	157	325	153
ENSMUSG00000036606.17	32093	17851	38219	22048	25469	17130
ENSMUSG00000036611.5	123	137	74	328	206	145
ENSMUSG00000036613.8	2211	1548	1914	3399	2953	3378
ENSMUSG00000036615.6	843	528	802	1667	1400	1477
ENSMUSG00000036617.16	23708	18302	21184	2355	4258	1218
ENSMUSG00000036620.14	7450	5627	7425	5737	6055	5271
ENSMUSG00000036622.15	6830	4520	6770	12389	11049	11520
ENSMUSG00000036632.9	4202	2834	3893	2301	2568	1674
ENSMUSG00000036634.15	45	32	25	3	4	8
ENSMUSG00000036636.9	5387	4565	4610	4970	5969	4035
ENSMUSG00000036639.12	2468	2038	1851	1083	1033	864
ENSMUSG00000036641.9	50	27	53	230	179	181
ENSMUSG00000036644.15	5104	3049	5060	5686	5654	4574
ENSMUSG00000036646.13	12420	9606	11793	9095	10104	8099
ENSMUSG00000036647.5	0	0	0	0	0	0
ENSMUSG00000036655.8	45	14	37	23	33	37
ENSMUSG00000036658.4	0	0	0	0	0	0
ENSMUSG00000036661.14	1369	959	1122	220	226	117
ENSMUSG00000036667.14	2776	1321	3330	40202	31280	37648
ENSMUSG00000036672.5	9661	7003	7738	4860	6309	3835
ENSMUSG00000036676.14	8292	5749	7589	3427	4669	2033
ENSMUSG00000036678.8	17638	10430	14622	2590	3908	1807
ENSMUSG00000036686.16	2712	2303	2377	3129	3519	2091
ENSMUSG00000036687.13	2311	955	3072	61	205	48
ENSMUSG00000036693.12	7619	5290	5805	4248	4068	2952
ENSMUSG00000036698.11	15712	11270	13720	13098	12260	9219
ENSMUSG00000036699.12	103	95	144	7388	3974	3162
ENSMUSG00000036707.16	11763	7520	9900	20676	17138	18522
ENSMUSG00000036712.15	2749	1631	2623	4531	4560	3452
ENSMUSG00000036718.17	603	255	481	592	778	534
ENSMUSG00000036721.14	2134	1586	1544	1783	1729	1516
ENSMUSG00000036731.7	23	23	19	4	3	3
ENSMUSG00000036733.16	18	10	19	5	9	8
ENSMUSG00000036737.12	13713	12778	9936	7436	8433	6889
ENSMUSG00000036743.3	754	1037	338	178	87	23
ENSMUSG00000036744.13	4	0	12	0	0	0
ENSMUSG00000036745.15	87	88	85	1550	1181	1678
ENSMUSG00000036748.15	7759	6700	6161	10139	8113	8154
ENSMUSG00000036749.15	0	0	0	0	7	1
ENSMUSG00000036751.7	18640	16244	14963	14575	14636	12895
ENSMUSG00000036752.4	69310	45771	57923	15874	18001	11731
ENSMUSG00000036760.7	1	0	0	1390	824	790
ENSMUSG00000036764.12	479	384	382	853	718	753
ENSMUSG00000036766.12	2050	1333	1777	40467	27402	26363
ENSMUSG00000036768.6	8546	7076	6755	2600	4207	2359
ENSMUSG00000036769.14	1512	1097	1191	1451	1271	1162
ENSMUSG00000036770.11	51	52	32	2	3	4
ENSMUSG00000036775.12	3086	2428	2784	1882	2115	1366
ENSMUSG00000036777.8	28301	23968	22646	2666	4251	1694
ENSMUSG00000036779.12	5613	4732	4352	6563	6650	4617
ENSMUSG00000036781.13	40496	28368	30400	4450	6379	2921
ENSMUSG00000036782.13	59510	56015	34870	9309	10761	7588
ENSMUSG00000036790.5	46	9	67	3741	2456	1876
ENSMUSG00000036792.12	1086	737	956	4999	3652	4249
ENSMUSG00000036800.8	1	2	2	1130	573	1219
ENSMUSG00000036805.13	4	6	2	0	5	5
ENSMUSG00000036810.16	4827	3860	4087	3834	4816	3153
ENSMUSG00000036813.11	6	4	8	9	15	7
ENSMUSG00000036814.13	14	6	6	1	11	2
ENSMUSG00000036815.16	1	1	1	2738	933	1208
ENSMUSG00000036816.4	11	12	12	8	13	12
ENSMUSG00000036817.14	16212	16541	12899	7250	8194	5946
ENSMUSG00000036819.14	2225	1229	1873	3081	2361	2117
ENSMUSG00000036820.11	3273	2644	2548	1148	1432	1049
ENSMUSG00000036822.6	10665	6171	9760	5479	5135	3457
ENSMUSG00000036825.12	3999	3044	2894	1822	1575	1298
ENSMUSG00000036826.14	0	0	0	0	0	0
ENSMUSG00000036832.5	55	54	41	73	317	58
ENSMUSG00000036833.16	2135	1840	1987	497	615	266
ENSMUSG00000036834.16	356	346	312	5003	5067	6983
ENSMUSG00000036835.7	6278	4557	5411	2218	2162	2043
ENSMUSG00000036840.5	2506	2035	2155	5348	4749	4385
ENSMUSG00000036845.12	1829	1307	1342	1410	1301	1177
ENSMUSG00000036850.4	2770	1997	2099	2705	2202	2485
ENSMUSG00000036853.5	2095	1112	2547	58	53	42
ENSMUSG00000036854.14	488	349	432	186	206	117
ENSMUSG00000036855.3	5	1	4	0	3	0
ENSMUSG00000036856.4	2870	910	3956	742	1377	1008
ENSMUSG00000036858.8	8	4	10	2	6	13
ENSMUSG00000036860.14	3198	2776	2575	1921	1685	1424
ENSMUSG00000036862.15	161	91	191	24505	20294	18778
ENSMUSG00000036863.12	4372	3487	3267	737	917	547
ENSMUSG00000036864.16	1376	1164	1091	1028	1284	1039
ENSMUSG00000036867.7	641	474	451	379	471	595
ENSMUSG00000036872.16	0	1	3	39	32	27
ENSMUSG00000036873.13	2102	1560	1522	2175	1888	2025
ENSMUSG00000036875.15	6366	4751	3812	1508	1965	1154
ENSMUSG00000036879.15	2947	2262	2761	3875	4062	2500
ENSMUSG00000036880.9	1553	1527	1373	1115	1945	725
ENSMUSG00000036882.7	959	832	794	20491	18740	20307
ENSMUSG00000036885.14	761	211	1316	1553	1259	924
ENSMUSG00000036887.5	10	20	33	0	0	0
ENSMUSG00000036890.13	2093	1290	2129	3355	2052	2146
ENSMUSG00000036892.12	22	21	12	1	2	0
ENSMUSG00000036893.17	8422	6264	7348	13638	13044	13433
ENSMUSG00000036894.3	10286	4074	9251	3159	3320	2592
ENSMUSG00000036896.5	15	23	33	0	0	0
ENSMUSG00000036898.16	2515	1916	1933	8195	6649	7446
ENSMUSG00000036899.10	16	8	8	1	2	0
ENSMUSG00000036902.11	442	428	372	13617	9820	7697
ENSMUSG00000036904.5	504	399	581	431	568	611
ENSMUSG00000036905.8	7	23	41	13	4	11
ENSMUSG00000036907.9	27	27	36	24	83	54
ENSMUSG00000036908.16	1829	1364	2200	95	209	38
ENSMUSG00000036912.17	26	36	8	18	11	9
ENSMUSG00000036913.15	5610	1501	6196	18206	13737	14360
ENSMUSG00000036915.17	1824	2609	605	250	414	1237
ENSMUSG00000036916.13	3447	1991	3453	4571	4618	3562
ENSMUSG00000036918.15	1217	841	1138	506	566	392
ENSMUSG00000036921.2	0	1	1	0	0	0
ENSMUSG00000036923.12	72	50	46	191	114	88
ENSMUSG00000036924.3	1	4	1	0	0	0
ENSMUSG00000036925.8	0	0	0	6	6	0
ENSMUSG00000036928.14	3321	3197	1581	1499	1769	679
ENSMUSG00000036931.15	581	635	393	132	170	86
ENSMUSG00000036932.14	7715	6779	6057	3654	4474	3081
ENSMUSG00000036934.9	3888	2798	2665	1367	1561	975
ENSMUSG00000036938.17	0	0	0	0	0	0
ENSMUSG00000036940.15	25902	19331	22475	23469	22548	22255
ENSMUSG00000036941.2	1378	994	1221	1753	1370	1256
ENSMUSG00000036943.9	1705	1193	1525	5731	4873	4205
ENSMUSG00000036944.6	2	3	5	2	11	1
ENSMUSG00000036948.17	3064	2173	2906	5382	5544	5270
ENSMUSG00000036949.16	0	3	0	25	10	1
ENSMUSG00000036951.2	2	0	0	0	0	0
ENSMUSG00000036955.16	3327	2145	2654	6613	5529	5929
ENSMUSG00000036957.8	1175	748	1324	2265	1878	1987
ENSMUSG00000036958.5	0	0	0	0	0	0
ENSMUSG00000036959.15	1103	401	1413	3759	3682	3771
ENSMUSG00000036960.10	1	0	3	2	1	4
ENSMUSG00000036961.4	17	3	14	7	2	9
ENSMUSG00000036962.12	11	4	8	4	6	0
ENSMUSG00000036964.14	8	2	5	182	208	113
ENSMUSG00000036966.15	2374	1530	2120	4065	3317	3347
ENSMUSG00000036968.15	3838	2588	3889	2006	2647	1848
ENSMUSG00000036972.14	9	6	6	3997	2095	1776
ENSMUSG00000036975.5	1949	1522	1640	1260	1202	1087
ENSMUSG00000036977.8	3923	3413	2196	1825	2039	1385
ENSMUSG00000036980.13	7038	5434	5764	4893	5028	4182
ENSMUSG00000036983.7	2429	2104	1649	963	898	779
ENSMUSG00000036985.12	3020	1467	3809	6743	5785	5287
ENSMUSG00000036986.16	12852	13866	8924	2365	2107	660
ENSMUSG00000036989.16	3648	2166	3783	6501	6100	4988
ENSMUSG00000036990.13	18746	15223	15408	9903	14073	6854
ENSMUSG00000036992.10	4440	3779	3334	1396	1532	1294
ENSMUSG00000036995.7	1845	1078	1727	1065	1600	850
ENSMUSG00000037001.10	618	496	453	1385	1161	1021
ENSMUSG00000037003.16	1196	1003	1112	660	1179	330
ENSMUSG00000037005.16	2	2	2	50	32	14
ENSMUSG00000037007.17	997	593	1033	3820	3696	3753
ENSMUSG00000037010.7	21	42	22	89	59	38
ENSMUSG00000037012.18	10344	8360	5918	9919	8022	8203
ENSMUSG00000037013.15	14141	11432	10149	5694	6162	4609
ENSMUSG00000037014.4	0	3	0	10	15	6
ENSMUSG00000037016.11	6529	4639	8249	422	770	371
ENSMUSG00000037017.15	4438	3067	3348	9026	8479	9757
ENSMUSG00000037020.16	5254	4507	3961	1163	1715	797
ENSMUSG00000037022.3	595	377	581	1566	1528	1190
ENSMUSG00000037025.11	19	13	19	185	1025	46
ENSMUSG00000037028.7	3	0	2	11	40	24
ENSMUSG00000037029.8	4590	3059	4029	8708	7361	8146
ENSMUSG00000037031.10	2219	1993	2343	479	513	395
ENSMUSG00000037032.16	2268	1206	2938	16211	12440	14774
ENSMUSG00000037033.9	98	154	28	24	34	5
ENSMUSG00000037034.16	9	7	4	14	2	27
ENSMUSG00000037035.5	460	1103	292	469	1262	358
ENSMUSG00000037049.9	2897	1947	3485	4467	4164	3465
ENSMUSG00000037053.6	0	0	0	1	0	0
ENSMUSG00000037058.14	27469	20016	22204	20187	19911	21377
ENSMUSG00000037060.3	89	67	88	66	28	11
ENSMUSG00000037062.13	11954	6126	12645	16248	13633	13785
ENSMUSG00000037064.5	4	2	3	0	0	0
ENSMUSG00000037070.10	10284	6950	8407	7583	8021	6035
ENSMUSG00000037071.2	15058	15358	16607	9405	11953	6488
ENSMUSG00000037072.15	37032	26871	29152	14365	14112	10773
ENSMUSG00000037075.7	3941	3235	3438	4251	3676	2847
ENSMUSG00000037085.8	374	238	359	1050	841	938
ENSMUSG00000037086.3	0	1	0	7	0	1
ENSMUSG00000037089.10	5770	4827	4837	3788	3954	3319
ENSMUSG00000037095.7	0	0	1	0	0	0
ENSMUSG00000037096.6	568	375	509	492	576	449
ENSMUSG00000037098.17	5482	3043	5425	8828	8010	8455
ENSMUSG00000037101.16	27	28	17	66	30	24
ENSMUSG00000037103.8	9186	7531	8295	8781	9793	7441
ENSMUSG00000037104.8	1844	1286	1453	3301	2816	3008
ENSMUSG00000037106.8	2	3	1	2	4	6
ENSMUSG00000037108.13	1718	1217	1004	855	716	410
ENSMUSG00000037110.20	3107	2097	2532	3057	3107	2578
ENSMUSG00000037111.9	7947	3774	8972	5562	5230	3779
ENSMUSG00000037112.16	708	608	567	2045	1769	1361
ENSMUSG00000037119.4	10070	7673	7880	10236	9943	7925
ENSMUSG00000037124.6	0	0	0	0	1	0
ENSMUSG00000037126.16	337	259	317	7823	6231	6244
ENSMUSG00000037129.7	533	205	933	6	6	5
ENSMUSG00000037130.4	0	0	0	0	0	0
ENSMUSG00000037134.17	2756	2343	1965	3131	2983	2178
ENSMUSG00000037138.17	971	775	748	10490	6964	7204
ENSMUSG00000037139.15	38	32	38	16	33	6
ENSMUSG00000037140.6	2	3	5	5	4	6
ENSMUSG00000037143.17	49	45	33	85	53	53
ENSMUSG00000037145.14	0	0	0	0	0	0
ENSMUSG00000037148.8	2767	1533	2589	834	2201	558
ENSMUSG00000037149.10	21051	14439	16282	14739	13899	11007
ENSMUSG00000037151.8	858	641	728	3087	2445	2649
ENSMUSG00000037152.11	5927	4644	4021	3438	2988	3154
ENSMUSG00000037157.8	2	2	8	4	8	3
ENSMUSG00000037159.11	9	10	4	29	15	24
ENSMUSG00000037161.14	967	1442	533	75	111	81
ENSMUSG00000037166.5	3238	1480	2337	75	143	101
ENSMUSG00000037167.5	0	0	0	1	3	1
ENSMUSG00000037169.15	7849	9486	4279	3571	4323	3482
ENSMUSG00000037171.6	13129	7916	16629	1458	846	153
ENSMUSG00000037172.14	978	1037	873	3419	3094	3507
ENSMUSG00000037174.18	7088	4713	6048	8203	7837	8091
ENSMUSG00000037185.9	216	51	211	7	10	5
ENSMUSG00000037188.7	1886	1391	1243	119	173	97
ENSMUSG00000037190.12	1319	1094	1087	1045	1001	811
ENSMUSG00000037196.6	67	28	54	299	256	287
ENSMUSG00000037197.11	14962	9770	11379	6818	7273	6040
ENSMUSG00000037202.6	3	5	0	0	0	0
ENSMUSG00000037204.7	4116	3395	3235	2245	2079	2073
ENSMUSG00000037206.15	107	29	50	3474	2539	448
ENSMUSG00000037210.16	3834	2852	3461	9081	8279	7728
ENSMUSG00000037211.12	4560	2090	4430	2346	1653	820
ENSMUSG00000037214.12	1126	884	851	1063	1098	932
ENSMUSG00000037216.5	769	592	592	328	275	171
ENSMUSG00000037217.15	532	501	362	7179	5556	5816
ENSMUSG00000037221.13	1116	1016	943	2074	1697	1867
ENSMUSG00000037224.15	300	329	145	615	544	589
ENSMUSG00000037225.13	164	71	74	178	93	48
ENSMUSG00000037234.17	8545	5623	9288	13954	14815	11622
ENSMUSG00000037235.13	637	351	869	8450	7419	7654
ENSMUSG00000037236.14	45103	36605	34392	67661	50662	52898
ENSMUSG00000037239.8	1117	686	1194	11323	10034	9746
ENSMUSG00000037242.8	32258	22042	26860	13321	16686	13849
ENSMUSG00000037243.17	6765	4836	5816	2731	3480	2163
ENSMUSG00000037246.6	0	0	0	0	0	0
ENSMUSG00000037247.3	0	0	0	0	1	0
ENSMUSG00000037251.5	2838	2400	2409	2964	2850	2121
ENSMUSG00000037253.8	9760	6265	9160	9259	8399	7962
ENSMUSG00000037254.18	6	0	3	6	5	8
ENSMUSG00000037257.8	3707	2539	3258	6526	5437	6149
ENSMUSG00000037259.15	86	78	50	2574	1776	2211
ENSMUSG00000037260.8	6545	4951	5831	2841	3799	1682
ENSMUSG00000037262.7	1745	1143	1326	1903	2180	1938
ENSMUSG00000037263.13	2	1	0	0	0	0
ENSMUSG00000037266.18	41850	37743	36292	33771	39920	32231
ENSMUSG00000037270.18	5993	5080	5186	10567	8474	6065
ENSMUSG00000037275.14	8529	7220	6293	5579	4871	3089
ENSMUSG00000037278.9	11388	9936	10230	2460	2712	1074
ENSMUSG00000037279.13	1075	630	992	36	164	18
ENSMUSG00000037280.12	6922	6045	3000	529	550	189
ENSMUSG00000037286.15	9533	6883	7472	11080	9150	8331
ENSMUSG00000037287.15	4095	2828	3165	3260	3151	2869
ENSMUSG00000037295.7	3968	2706	3428	417	2031	319
ENSMUSG00000037296.7	2919	2545	2160	2558	2468	2154
ENSMUSG00000037300.19	5128	4925	4858	5056	7231	3869
ENSMUSG00000037306.13	2832	2301	3010	1175	1777	585
ENSMUSG00000037307.11	0	1	2	3	1	2
ENSMUSG00000037313.16	15791	9679	13582	3587	5695	3005
ENSMUSG00000037315.15	10805	8413	8010	3527	5537	2561
ENSMUSG00000037316.9	7002	5907	4834	4920	4472	3732
ENSMUSG00000037318.10	0	0	2	10	2	2
ENSMUSG00000037321.17	6618	2346	9380	466	1057	238
ENSMUSG00000037325.10	1171	716	1154	1837	1699	1533
ENSMUSG00000037326.10	4203	2863	3597	3893	4711	3698
ENSMUSG00000037331.15	28533	22290	24304	18224	15707	11324
ENSMUSG00000037334.2	0	0	0	0	0	0
ENSMUSG00000037335.13	735	1136	707	81	503	115
ENSMUSG00000037336.14	455	306	412	206	242	133
ENSMUSG00000037337.11	3237	2874	2271	418	518	211
ENSMUSG00000037339.17	5086	3532	4142	1558	1893	1404
ENSMUSG00000037341.14	73	66	140	427	289	259
ENSMUSG00000037343.8	5897	4251	4653	8436	8353	7197
ENSMUSG00000037344.14	2478	1821	2462	2571	2879	2222
ENSMUSG00000037346.4	2	3	1	3	0	4
ENSMUSG00000037347.7	82	79	89	222	85	21
ENSMUSG00000037348.15	413	285	434	89	95	37
ENSMUSG00000037349.9	826	657	485	856	758	681
ENSMUSG00000037351.9	12111	9137	10046	13939	12759	11201
ENSMUSG00000037353.9	1644	946	1570	4456	4834	4490
ENSMUSG00000037355.14	1480	868	1498	2128	2010	1715
ENSMUSG00000037358.6	0	0	0	0	0	0
ENSMUSG00000037361.8	6975	5556	5210	7084	6480	6742
ENSMUSG00000037362.8	41	47	24	191	151	53
ENSMUSG00000037363.9	836	297	1016	920	1161	819
ENSMUSG00000037364.12	17466	16060	13993	16165	17564	14092
ENSMUSG00000037366.14	1903	1348	1773	1207	1598	1052
ENSMUSG00000037369.17	6347	4800	5327	5626	5923	4268
ENSMUSG00000037370.13	255	129	168	121	716	98
ENSMUSG00000037373.12	8897	6659	7766	26286	22962	25930
ENSMUSG00000037375.16	528	248	581	139	146	81
ENSMUSG00000037376.14	6824	4814	4623	3170	2890	2079
ENSMUSG00000037379.7	563	141	464	134	1177	53
ENSMUSG00000037386.16	2950	1423	3262	6132	4590	5820
ENSMUSG00000037390.12	4	4	1	12	12	0
ENSMUSG00000037393.2	1	0	2	3	8	6
ENSMUSG00000037395.15	1204	842	1141	3745	2927	2631
ENSMUSG00000037400.17	17266	18657	14231	6833	7356	5513
ENSMUSG00000037405.8	6496	6365	4115	208	421	93
ENSMUSG00000037406.7	12	9	14	8	13	0
ENSMUSG00000037408.10	1166	1102	909	1033	870	679
ENSMUSG00000037410.13	1748	1191	1354	2278	2058	1262
ENSMUSG00000037411.10	14352	12669	10278	433	2524	403
ENSMUSG00000037415.6	3620	2725	3515	6414	8477	6047
ENSMUSG00000037416.13	8227	5660	6014	6460	5854	4751
ENSMUSG00000037418.5	276	196	296	21	16	9
ENSMUSG00000037419.9	5428	1646	6950	1166	1227	888
ENSMUSG00000037424.6	2	0	0	0	0	0
ENSMUSG00000037426.17	4327	2886	3595	5180	4728	4288
ENSMUSG00000037428.14	1150	711	1151	1400	1290	1168
ENSMUSG00000037432.15	2	5	4	4	4	5
ENSMUSG00000037434.7	2872	2493	2348	3422	3436	1807
ENSMUSG00000037437.18	13	22	23	48	41	32
ENSMUSG00000037438.6	2	4	3	4	0	0
ENSMUSG00000037440.8	1613	779	2362	62	714	91
ENSMUSG00000037443.13	6167	5071	4110	2495	2644	1951
ENSMUSG00000037446.13	1384	519	1661	62	54	44
ENSMUSG00000037447.16	451	312	355	144	148	92
ENSMUSG00000037451.7	17	17	6	7	2	0
ENSMUSG00000037455.16	343	327	281	737	494	212
ENSMUSG00000037458.15	13680	11540	8713	26225	18682	19624
ENSMUSG00000037461.10	8271	6567	6482	9870	8811	6976
ENSMUSG00000037463.14	1420	1155	894	172	523	150
ENSMUSG00000037465.10	8688	7116	6717	1482	1358	1034
ENSMUSG00000037466.13	4573	3852	3763	1251	1698	991
ENSMUSG00000037469.9	223	247	155	18	34	24
ENSMUSG00000037470.14	18097	14226	16469	13325	15833	9380
ENSMUSG00000037474.13	12114	10006	8389	3727	3924	1601
ENSMUSG00000037475.15	9591	7399	8316	13395	12664	9870
ENSMUSG00000037477.7	4	1	1	0	0	2
ENSMUSG00000037482.2	0	0	1	0	0	0
ENSMUSG00000037486.18	6682	6345	4960	3940	4631	2961
ENSMUSG00000037487.7	29083	28821	21534	35827	28952	25464
ENSMUSG00000037490.5	835	471	1041	54	68	53
ENSMUSG00000037492.16	126	296	58	654	672	376
ENSMUSG00000037493.6	730	460	765	830	700	775
ENSMUSG00000037499.9	3397	2221	3723	960	919	682
ENSMUSG00000037503.12	10790	7232	9460	45870	36018	38805
ENSMUSG00000037509.20	965	615	688	4200	4152	2566
ENSMUSG00000037514.17	6430	5068	4736	4390	4579	4194
ENSMUSG00000037519.17	6935	5261	5964	7206	7115	5469
ENSMUSG00000037523.13	2130	1629	1519	595	908	342
ENSMUSG00000037525.5	1771	1444	1738	1106	930	952
ENSMUSG00000037526.7	2637	2782	1632	2724	2235	2127
ENSMUSG00000037529.13	2	4	1	0	0	2
ENSMUSG00000037531.8	3285	2577	2419	2258	2139	1948
ENSMUSG00000037533.19	3814	2853	2638	7870	6478	4842
ENSMUSG00000037535.5	7	2	2	4	2	2
ENSMUSG00000037536.14	6209	4800	5172	2779	2514	2005
ENSMUSG00000037537.6	0	0	0	0	0	0
ENSMUSG00000037541.21	85	68	82	3697	1837	1846
ENSMUSG00000037542.13	6	2	1	13	12	12
ENSMUSG00000037544.14	17948	11494	14803	2218	3342	1647
ENSMUSG00000037548.14	10	4	2	0	2	1
ENSMUSG00000037552.17	14664	5372	20026	5161	6934	4208
ENSMUSG00000037553.14	10166	7100	10155	3317	3444	2904
ENSMUSG00000037563.15	111775	88058	85462	21444	23255	16370
ENSMUSG00000037568.12	666	419	690	13694	9506	10714
ENSMUSG00000037570.16	10048	8474	7918	7766	7179	6818
ENSMUSG00000037572.17	6717	5610	4757	3968	4240	3598
ENSMUSG00000037573.5	3557	2380	2168	2891	3266	2485
ENSMUSG00000037577.12	206	103	424	24	27	14
ENSMUSG00000037578.4	24	25	24	62	85	34
ENSMUSG00000037579.7	547	664	339	105	146	60
ENSMUSG00000037580.10	727	713	531	91	206	165
ENSMUSG00000037583.2	5	7	4	0	1	0
ENSMUSG00000037593.11	66	39	45	35	45	28
ENSMUSG00000037594.11	721	423	671	985	836	945
ENSMUSG00000037600.16	2023	1177	1873	66	237	30
ENSMUSG00000037601.11	3828	3126	2827	4240	3891	4000
ENSMUSG00000037603.6	0	0	0	1	0	0
ENSMUSG00000037605.16	24	38	13	14205	8436	9443
ENSMUSG00000037606.18	1496	485	1928	1838	1465	1121
ENSMUSG00000037608.16	20799	15921	14798	27315	24521	21793
ENSMUSG00000037610.15	15	2	5	311	206	229
ENSMUSG00000037613.16	283	177	163	73	35	26
ENSMUSG00000037617.12	896	714	761	1057	1251	1067
ENSMUSG00000037621.8	40	31	19	237	278	238
ENSMUSG00000037622.14	6117	5183	4418	5586	4903	4784
ENSMUSG00000037624.15	8	4	27	1622	760	723
ENSMUSG00000037625.7	66	18	154	31	116	20
ENSMUSG00000037627.16	186	142	86	32	9	4
ENSMUSG00000037628.10	2253	1092	1998	281	417	224
ENSMUSG00000037636.6	343	285	266	13	50	4
ENSMUSG00000037638.5	975	346	959	217	407	224
ENSMUSG00000037640.15	2336	1954	1801	14648	11019	14020
ENSMUSG00000037643.14	22981	15030	19664	6003	6277	4212
ENSMUSG00000037646.10	4142	3010	3520	4048	3275	2297
ENSMUSG00000037649.9	554	411	562	472	424	446
ENSMUSG00000037652.15	2588	1800	2315	6472	5093	4513
ENSMUSG00000037653.7	2	4	0	846	454	447
ENSMUSG00000037656.9	6655	7022	6170	3040	3372	1628
ENSMUSG00000037660.5	6	4	4	11	6	5
ENSMUSG00000037661.14	786	646	483	66	43	2
ENSMUSG00000037664.13	5402	5696	5788	25545	33805	31283
ENSMUSG00000037669.15	3755	2641	3207	3426	3188	3115
ENSMUSG00000037674.15	8174	5927	7052	15730	13663	12458
ENSMUSG00000037679.9	5359	2653	5742	392	1583	336
ENSMUSG00000037681.13	1075	980	1137	60	105	21
ENSMUSG00000037683.14	2	0	0	1	1	2
ENSMUSG00000037685.15	2090	2199	1543	10618	8437	8036
ENSMUSG00000037686.6	1718	1607	1858	24	151	41
ENSMUSG00000037689.6	0	0	0	0	0	0
ENSMUSG00000037692.14	8396	6038	7350	4574	3869	3495
ENSMUSG00000037697.19	2889	2096	2094	4061	4658	5097
ENSMUSG00000037703.14	472	410	334	3215	2290	1971
ENSMUSG00000037705.13	5	3	5	69	42	52
ENSMUSG00000037706.17	62582	39673	56673	9892	12902	5386
ENSMUSG00000037708.16	11	4	9	9	24	19
ENSMUSG00000037709.13	141	121	95	1059	568	419
ENSMUSG00000037710.8	7439	5658	5726	4306	3242	3570
ENSMUSG00000037712.16	14263	9053	11409	5578	6298	3765
